feedback_id,product_id,research_type,persona,theme,severity,satisfaction_score,requested_capability,revenue_at_risk,task_completion_minutes,follow_up_owner
VOC-001,HPA-002,anonymous survey,Quality analytics director,metric trust,Low,8,"stakeholders asked for clearer numerator, denominator, and data freshness notes",113375.52,16,Luis Romero
VOC-002,HPA-006,anonymous survey,Quality analytics director,metric trust,Low,5,"stakeholders asked for clearer numerator, denominator, and data freshness notes",138572.24,24,Avery Brooks
VOC-003,HPA-004,prospect interview,VP Product,metric trust,Medium,10,"stakeholders asked for clearer numerator, denominator, and data freshness notes",127495.87,17,Priya Menon
VOC-004,HPA-006,customer interview,Pharmacy operations director,implementation speed,Medium,5,prospects care about time to first validated insight,51657.25,10,Avery Brooks
VOC-005,HPA-013,anonymous survey,VP Product,usability friction,Low,8,users spend too long interpreting exception and next-action screens,67642.23,18,Olivia Chen
VOC-006,HPA-009,usability test,VP Product,workflow integration,Low,6,users want fewer handoffs between analytics and operational queues,63299.98,15,Sofia Martinez
VOC-007,HPA-015,usability test,VP Product,compliance evidence,High,5,"buyers want visible privacy, audit, and access controls before expansion",356283.15,14,Fatima Ahmed
VOC-008,HPA-012,win loss review,Data governance owner,implementation speed,Medium,5,prospects care about time to first validated insight,206788.34,30,Kara Nguyen
VOC-009,HPA-009,usability test,Life sciences analytics lead,implementation speed,Medium,7,prospects care about time to first validated insight,178034.48,8,Sofia Martinez
VOC-010,HPA-011,anonymous survey,Data governance owner,competitive proof,High,4,marketing needs proof points against point solutions and internal builds,297382.7,24,Ravi Kapoor
VOC-011,HPA-006,customer interview,Revenue cycle leader,competitive proof,Low,5,marketing needs proof points against point solutions and internal builds,86761.48,11,Avery Brooks
VOC-012,HPA-010,usability test,VP Product,compliance evidence,Low,8,"buyers want visible privacy, audit, and access controls before expansion",35523.33,12,Mina Shah
VOC-013,HPA-002,prospect interview,Revenue cycle leader,competitive proof,Medium,7,marketing needs proof points against point solutions and internal builds,85452.18,24,Luis Romero
VOC-014,HPA-008,customer interview,Quality analytics director,compliance evidence,Low,7,"buyers want visible privacy, audit, and access controls before expansion",124383.74,15,Ethan Clark
VOC-015,HPA-004,customer interview,Revenue cycle leader,compliance evidence,High,3,"buyers want visible privacy, audit, and access controls before expansion",80621.92,25,Priya Menon
VOC-016,HPA-016,usability test,Revenue cycle leader,pricing clarity,High,6,buyers need tier and usage language that maps to budgets,293662.23,19,Daniel Kim
VOC-017,HPA-012,anonymous survey,Implementation manager,compliance evidence,Medium,7,"buyers want visible privacy, audit, and access controls before expansion",45850.32,19,Kara Nguyen
VOC-018,HPA-007,usability test,Revenue cycle leader,competitive proof,Medium,6,marketing needs proof points against point solutions and internal builds,124540.33,13,Nora Singh
VOC-019,HPA-015,customer interview,Revenue cycle leader,competitive proof,High,4,marketing needs proof points against point solutions and internal builds,61598.62,17,Fatima Ahmed
VOC-020,HPA-009,prospect interview,Data governance owner,compliance evidence,High,6,"buyers want visible privacy, audit, and access controls before expansion",192488.84,4,Sofia Martinez
VOC-021,HPA-009,anonymous survey,Revenue cycle leader,competitive proof,Medium,7,marketing needs proof points against point solutions and internal builds,112269.96,30,Sofia Martinez
VOC-022,HPA-016,customer interview,Data governance owner,workflow integration,High,3,users want fewer handoffs between analytics and operational queues,356190.35,24,Daniel Kim
VOC-023,HPA-005,customer interview,Quality analytics director,workflow integration,Low,5,users want fewer handoffs between analytics and operational queues,128312.88,21,Jordan Ellis
VOC-024,HPA-005,prospect interview,Implementation manager,implementation speed,Medium,6,prospects care about time to first validated insight,56041.33,6,Jordan Ellis
VOC-025,HPA-002,customer interview,VP Product,compliance evidence,Low,7,"buyers want visible privacy, audit, and access controls before expansion",133802.33,9,Luis Romero
VOC-026,HPA-007,usability test,Life sciences analytics lead,implementation speed,High,3,prospects care about time to first validated insight,85095.25,18,Nora Singh
VOC-027,HPA-002,anonymous survey,Data governance owner,metric trust,Low,9,"stakeholders asked for clearer numerator, denominator, and data freshness notes",111987.21,16,Luis Romero
VOC-028,HPA-001,win loss review,Implementation manager,metric trust,Low,4,"stakeholders asked for clearer numerator, denominator, and data freshness notes",181107.08,18,Maya Patel
VOC-029,HPA-004,customer interview,Revenue cycle leader,usability friction,Low,7,users spend too long interpreting exception and next-action screens,107075.65,26,Priya Menon
VOC-030,HPA-016,anonymous survey,VP Product,compliance evidence,Low,5,"buyers want visible privacy, audit, and access controls before expansion",126867.05,31,Daniel Kim
VOC-031,HPA-001,usability test,Quality analytics director,competitive proof,High,3,marketing needs proof points against point solutions and internal builds,278978.23,20,Maya Patel
VOC-032,HPA-013,usability test,Revenue cycle leader,implementation speed,High,6,prospects care about time to first validated insight,278784.07,12,Olivia Chen
VOC-033,HPA-004,prospect interview,Pharmacy operations director,pricing clarity,Low,2,buyers need tier and usage language that maps to budgets,39963.52,11,Priya Menon
VOC-034,HPA-005,customer interview,Implementation manager,workflow integration,High,8,users want fewer handoffs between analytics and operational queues,195630.89,11,Jordan Ellis
VOC-035,HPA-015,anonymous survey,Pharmacy operations director,metric trust,Medium,2,"stakeholders asked for clearer numerator, denominator, and data freshness notes",149049.64,15,Fatima Ahmed
VOC-036,HPA-013,anonymous survey,Pharmacy operations director,compliance evidence,Low,6,"buyers want visible privacy, audit, and access controls before expansion",97458.73,13,Olivia Chen
VOC-037,HPA-008,customer interview,VP Product,metric trust,High,8,"stakeholders asked for clearer numerator, denominator, and data freshness notes",185868.99,27,Ethan Clark
VOC-038,HPA-006,customer interview,Data governance owner,usability friction,High,6,users spend too long interpreting exception and next-action screens,56548.71,26,Avery Brooks
VOC-039,HPA-008,prospect interview,Data governance owner,workflow integration,Medium,6,users want fewer handoffs between analytics and operational queues,141536.1,12,Ethan Clark
VOC-040,HPA-009,customer interview,VP Product,compliance evidence,Low,6,"buyers want visible privacy, audit, and access controls before expansion",184273.44,6,Sofia Martinez
VOC-041,HPA-014,anonymous survey,Quality analytics director,usability friction,Medium,9,users spend too long interpreting exception and next-action screens,54767.17,17,Sam Reed
VOC-042,HPA-001,anonymous survey,Pharmacy operations director,compliance evidence,Medium,8,"buyers want visible privacy, audit, and access controls before expansion",193233.67,27,Maya Patel
VOC-043,HPA-008,anonymous survey,Revenue cycle leader,implementation speed,Low,5,prospects care about time to first validated insight,67648.77,18,Ethan Clark
VOC-044,HPA-001,prospect interview,Pharmacy operations director,usability friction,Medium,10,users spend too long interpreting exception and next-action screens,135419.54,25,Maya Patel
VOC-045,HPA-010,customer interview,VP Product,compliance evidence,Medium,4,"buyers want visible privacy, audit, and access controls before expansion",125864.44,17,Mina Shah
VOC-046,HPA-014,anonymous survey,Implementation manager,competitive proof,Low,7,marketing needs proof points against point solutions and internal builds,208853.5,13,Sam Reed
VOC-047,HPA-006,anonymous survey,Pharmacy operations director,implementation speed,Low,4,prospects care about time to first validated insight,117953.61,8,Avery Brooks
VOC-048,HPA-014,prospect interview,Revenue cycle leader,implementation speed,Medium,9,prospects care about time to first validated insight,31484.06,15,Sam Reed
VOC-049,HPA-014,usability test,Revenue cycle leader,workflow integration,Medium,8,users want fewer handoffs between analytics and operational queues,101563.55,13,Sam Reed
